experiment	description	converged	avg_step	run_details	status	lesson
# Phase 1 results (old eval criteria: 1 episode per checkpoint, rolling 10 avg >= 450, 3 runs)
baseline_v1	original SAC config (policy 12-12, tau=0.05, batch=1024, gamma=0.995)	0/3	DNF	DNF,DNF,DNF	baseline	Agent hits 500 occasionally but can't sustain. Policy net way too small.
exp1	policy net 12-12 to 64-64	1/3	1410	DNF,1410,DNF	keep	Larger policy net is critical. Q-nets were 64-64 but policy was only 12-12.
exp2	remove double target update in replay()	0/3	DNF	DNF,DNF,DNF	revert	Double update (effective tau~0.1) was actually helping. Faster target tracking = good.
exp3	lower lr 0.01 to 0.003	0/3	DNF	DNF,DNF,DNF	revert	Too slow to learn in 300s. SAC needs aggressive LR for this problem.
exp4	slower lr decay 0.999 to 0.9995	1/3	1520	DNF,1520,DNF	revert	Mixed results, not clearly better than exp1.
exp5	increase tau 0.05 to 0.1	2/3	1570	1550,DNF,1590	keep	Faster target tracking helps stability. Confirms exp2 lesson.
exp6	3 epochs per replay() call	0/3	DNF	DNF,DNF,DNF	revert	3x training slowed step throughput 40%. Wall-clock time matters more than gradient steps.
exp7	batch size 1024 to 512	2/3	1190	1490,DNF,890	keep	Smaller batches = faster gradient steps per second.
exp8	gamma 0.995 to 0.999	3/3	1027	960,1110,1010	keep	Higher discount = agent values survival more. Big improvement.
exp9	gamma 0.999 to 0.9995	3/3	1140	900,1160,1360	revert	Diminishing returns. More variance, higher avg. 0.999 is the sweet spot.
exp10	batch size 512 to 256	3/3	890	780,860,1030	keep	Smaller batches keep helping down to 256. Current best config.
exp11	batch size 256 to 128	1/3	990	990,DNF,DNF	revert	Too small = too noisy. 256 is optimal.
exp12	angular velocity reward shaping	2/3	890	680,1100,DNF	revert	Fastest single run ever (680!) but lost consistency. Reward signal too complex?
exp13	target_entropy -2.4 to -1.0	2/3	1145	1310,980,DNF	revert	More exploration didn't help. Default entropy target is fine.
exp14	clipnorm 2.0 to 1.0	2/3	1200	1220,1180,DNF	revert	Tighter clipping didn't help. Gradients aren't the bottleneck.
exp15	replay buffer 131k to 32k	3/3	1640	1410,1520,1990	revert	All converged but much slower. Larger buffer = more diverse training data.
# Phase 2: new eval criteria (5 episodes per checkpoint, rolling 10 avg >= 475, 5 runs). Re-baseline needed.
baseline_v2	phase 1 best config + 5-ep parallel eval (policy 64-64, tau=0.1, batch=256, gamma=0.999)	0/5	DNF	DNF,DNF,DNF,DNF,DNF	baseline	5-ep mean is much harder than 1-ep eval. Peak rolling avgs 242-414. Agent learns but can't sustain 475+ avg across 5 eps in 180s. Need architectural improvements.
exp16_layernorm_lr	LayerNorm on all nets + LR 0.01→0.03	2/5	675	660,DNF,DNF,690,DNF	revert	When it converges it's fast (675 avg vs baseline DNF), but 3/5 DNF = unreliable. LR 0.03 may be too aggressive even with LayerNorm. Try LayerNorm alone at LR 0.01, or LayerNorm + LR 0.02.
